zincid,smiles,consensus_score
ZINC000601954394,CN1CCC(N(C(=O)[C@@H]2Cc3cc(Cl)ccc3O2)c2ccccc2)CC1,0.5556276488906801
ZINC000544539460,COc1ccc(Br)c2[nH]c(C(=O)N3CCC[C@@]3(C)CCCO)cc21,0.5326776098882121
ZINC000296410013,O=C(Nc1cc(Cl)ccc1N1CCSCC1)N1CC2(C1)CCOC2,0.4724985640065663
ZINC000535329520,FC(F)Oc1ccc(-n2c(CN3CCCCC3)nnc2Sc2ncccn2)cc1,0.5988116090966804
ZINC000643133679,CS(=O)(=O)c1ccccc1NC(=O)c1cc(F)cc(Br)c1,0.5205676948215363
ZINC000892072320,CC1(C)CC[C@@H](CC(=O)Nc2nn(CC(F)(F)F)cc2Cl)OC1,0.4845279021554258
ZINC000180720812,C[C@H](CNC1CCN(C(N)=O)CC1)Sc1ccc(Br)cc1,0.4089622112437913
ZINC000817563900,NC(=O)[C@H]1CC[C@H](CNC(=S)NCc2ccc(Br)cc2)CC1,0.5128715240815938
ZINC000576569600,O=C(NC[C@H](Cc1ccccc1)C(F)(F)F)N[C@@H]1CC[C@H]2CNC[C@@H]2C1,0.5926418551624026
ZINC000772250754,CCOc1c(Br)cc(C(=O)OCc2ccc(C)cn2)cc1OC,0.545975685952923
ZINC000525847905,Cc1[nH]ccc(=NC(=O)N[C@@H]2COc3ccc(Cl)cc32)c1Br,0.5657340785758805
ZINC000896807941,O[C@H](Cc1nc([C@@H]2CC2(Cl)Cl)no1)c1cc(Cl)cc(Cl)c1,0.4510411688166
ZINC000284946309,O=C(Nc1ccc2oc(C(F)(F)F)nc2c1)[C@H]1CCc2[nH]nnc2C1,0.4442131571447446
ZINC001455738966,O=C(NC[C@@H](O)c1cncs1)c1ccc(Oc2ccc(F)cc2F)cc1,0.5426209561864903
ZINC000867070365,Cc1nc2c(s1)[C@@H](NS(=O)(=O)N=[S@@](C)(=O)c1ccccc1)CCC2,0.5442208744489366
ZINC000446140355,COc1cc(F)c(NC(=O)NC[C@]2(O)CCCC(C)(C)C2)cc1OC,0.4965501004260284
ZINC000535671637,CC(C)c1nc([C@H](C)NC(=O)NCC2(c3ccccc3Cl)CCOCC2)n[nH]1,0.6046368163072856
ZINC000581868109,C[C@@H]1CCCC[C@H]1OCCNC(=O)N=c1nc2cc(Br)ccn2[nH]1,0.5291957042134221
ZINC000188013104,CO[C@H](C)[C@H](C)NC(=O)N[C@@H]1CCN(c2ccc(Br)cc2)C1,0.507915593612819
ZINC000749497657,COc1cc(C2(C(=O)Nc3cccc(-n4ccnc4O)c3)CCC2)ccc1C,0.6403242886719567
ZINC000799441731,O=C(/C=C\c1ccnc(Cl)c1)N1CCOC[C@H]1Cc1c[nH]c2ccccc12,0.5901088221930652
ZINC000471446552,CC[C@](C)(NC(=O)c1noc(-c2cccc(OC)c2)n1)c1nc(C)cs1,0.5600348718231001
ZINC000644747619,C[C@H](NC(=O)CCCc1ccccc1Br)[C@@H](O)C(F)(F)F,0.4937513024454829
ZINC000132026382,CCCC[C@@H]1CCC[C@@H]1NC(=O)C(=O)Nc1c(C)cnn1-c1ccccc1,0.5726255584863285
ZINC000487810198,O=C(Nc1ccc(C(=O)C2CCC2)cc1)C(=O)N1CCc2ncsc2C1,0.5512174607308917
ZINC000377064301,C[C@H](C[C@H](O)c1ccco1)NC(=O)N[C@@H](C)c1nccn1-c1ccccc1,0.5901279719832894
ZINC000735299133,O=C(OCCc1cnn[nH]1)[C@H](Sc1cc(F)ccc1F)c1ccccc1,0.5749561412193908
ZINC000777538148,O=C1N(CN2CCCc3cc(Cl)cc(F)c32)CCC12CCOCC2,0.5845121175567005
ZINC000746891220,CS(=O)(=O)CCc1ccc(NC(=O)c2ccc(Br)nc2)cc1,0.454108795072183
ZINC000117566574,Cc1ccc(NC(=O)C2CC2)cc1NCc1cn2cc(Cl)ccc2n1,0.5770856658444095
ZINC000825610048,CCOc1cc(-c2nn[nH]n2)ccc1OS(=O)(=O)c1cc(C)c(C)s1,0.5601365454903657
ZINC000548936743,CN1C(=O)C[C@H](NC[C@H]2CCC3(CCCC3)O2)[C@H]1c1ccc(F)c(F)c1,0.6213256454544452
ZINC000757624285,COc1ccc(C(C)(C)C(=O)Nc2cccc(-n3ccnc3O)c2)cc1OC,0.6148008207649294
ZINC000053147215,CC(=O)Nc1ccc(OC(=O)[C@H]2CCN(c3ccc(C)cc3)C2=O)cc1,0.5430793494234789
ZINC000900351883,CSc1ccc(Cl)c(NC(=O)N[C@H](C[C@H]2CCCO2)C(=O)O)c1,0.5230716497475948
ZINC000596725121,COC(=O)c1cc(NC(=O)[C@@](C)(OC)C(=O)OC(C)(C)C)ccc1Cl,0.4928124723238283
ZINC000412585696,C[C@H]1C[C@@H](NC(=O)CSc2nnc(-c3ccc(Cl)cc3)o2)CS1,0.5458941549003136
ZINC000442730870,C=CCN1CCC(NC(=O)c2nc(COC)sc2-c2ccccc2)CC1,0.4978515595000682
ZINC000222788708,C[C@@H](Oc1cccc2ccccc21)C(=O)NCc1ccc2ccccc2c1,0.6569631272989486
ZINC000092177775,O=C(N[C@@H](CO)Cc1c[nH]c2ccccc12)c1cccc(OC(F)F)c1,0.5579454970289437
ZINC000519419859,COC(=O)[C@H](C)NC(=O)CCCSc1ccc(Br)cc1,0.437182297413319
ZINC000559443990,COc1cc2c(cc1Cl)CN(Cc1cc(=O)n3cc(C)ccc3n1)CC2,0.6057343189874173
ZINC001594762770,O=C(O)[C@@H]1C[C@H](NC(=O)NCCOCc2ccc(Cl)cc2)c2ccccc21,0.6386710746263866
ZINC000264583732,CC(=O)N1CCC[C@H](c2nc(CC(=O)Nc3ccc(Cl)cc3)no2)C1,0.5524273825697137
ZINC000434993205,CCc1sc(-c2nnc(CN3CCO[C@@H](c4cnn(C)c4)C3)o2)cc1C,0.5742437967054244
ZINC000494079966,CN(Cc1cccc2[nH]ccc21)C[C@@H](O)Cc1ccc(C(F)(F)F)cc1,0.4920338713951823
ZINC000640137516,C[C@@H](Oc1ccccc1NC(=O)N1CCO[C@H](C(F)F)CC1)C(F)(F)F,0.5340418321772756
ZINC000061020420,COc1ncccc1CNC(=O)NCCc1ccccc1Br,0.4623816394020173
ZINC000412622108,CCn1cc(Br)cc1C(=O)N1CC[C@](C(N)=O)(c2ccccc2)C1,0.546405230218642
ZINC000058184132,COc1cccc(C(=O)Nc2ccccc2-n2cc(Br)cn2)c1,0.5676875037530391
ZINC000432103676,CCn1cc(Br)cc1C(=O)N[C@H](CCC(=O)O)Cc1ccccc1,0.5078652754120683
ZINC000275899440,COc1ccccc1Nc1ncccc1C(=O)N1CC[C@H](O)C(C)(C)C1,0.5871352226646888
ZINC001045596234,O=C(N[C@@H]1CCCC[C@H]1Nc1cc(Cl)c(O)nn1)C(C1CC1)C1CC1,0.5581178785811424
ZINC000285651280,Cc1nc([C@H]2CCCN(C(=O)c3cn4ccc(Br)cc4n3)C2)n[nH]1,0.5675730094557695
ZINC000046059205,Fc1ccc([C@@H]2CN(Cc3nc4ccccc4n3C(F)F)CCO2)cc1,0.5606462928050777
ZINC000531076444,COc1cc(NC(=O)Nc2ccc(N3CCNC3=O)cc2)ccc1Br,0.479340256199731
ZINC000056811703,CCCC(=O)N1CCC[C@@H](C(=O)N[C@@H]2CC(C)(C)Cc3oc(C)cc32)C1,0.5902498591023193
ZINC001603284289,C[C@H](Sc1ccc(Br)cc1)C(=O)N1CCC[C@@H](C)[C@H]1C(=O)O,0.5288123468689166
ZINC000322719485,COc1ccc(SCC(=O)Nc2ccc(Br)c(C(=O)O)c2)cc1,0.5219337843496914
ZINC000413790669,COC(=O)[C@H]1C[C@@H](NC(=O)N(C)CCc2ccc(Br)cc2)C1,0.5197651614056074
ZINC000610643910,C[S@](=O)c1ccc(CNC(=O)NC[C@@H]2CCCC[C@H]2C(F)(F)F)cc1,0.4709473444959046
ZINC000506882707,Cc1cccc(OC(F)F)c1NC(=O)NCCc1cc(F)c(F)c(F)c1,0.5394801844196757
ZINC000727440650,CN(CCOc1ccccc1)S(=O)(=O)/C=C/c1ccc(Br)cc1,0.52237487879804
ZINC000543487498,COC[C@@H](NC(=O)NC[C@H](C)c1nc(C)cs1)c1ccc(F)cc1,0.5230327112924221
ZINC000020452522,CN(Cc1cnn(-c2ccc(F)cc2)c1)Cc1nc(-c2cccs2)no1,0.5540873809934523
ZINC000796938474,Cc1sc2nc(CCC(=O)OCCc3nccs3)nc(O)c2c1C,0.5488846712865278
ZINC000753095950,C[C@@H](CCNC(=O)NCCCOc1ccccc1F)N1CCCCC1,0.4421977017179199
ZINC000156379254,Cn1ccnc1-c1csc(NC(=O)c2cc(Cl)ncc2Cl)n1,0.4961993995473511
ZINC000747786240,CCOC(=O)CCN(Cn1ccn(Cc2ccccc2)c1=S)C1CC1,0.5301417195062836
ZINC000554782025,N#Cc1cc(Br)ccc1CNc1ccc(C(=O)NCC(F)(F)F)cc1,0.508536746159144
ZINC000541923166,Cn1cnc([N+](=O)[O-])c1Oc1ccc(C#N)cc1I,0.4869856719595857
ZINC000549543049,COc1cnc(C(=O)NCC2(c3cccc(Br)c3)CCC2)nc1,0.5524804515037682
ZINC000174091095,CSc1ncc(Cl)c(C(=O)NC[C@@H](C)Oc2ccc(C)cc2)n1,0.5484066548298538
ZINC000076765442,Cc1ncsc1/C(O)=N/S(=O)(=O)c1ccccc1C(F)(F)F,0.4480205774967469
ZINC000096386292,O=C(NCc1cccs1)c1csc(N2CCN(c3ccccc3)CC2)n1,0.5306918755872546
ZINC000444463040,N#Cc1cccc(NCC(=O)NC[C@@]2(O)CCC[C@H](C(F)(F)F)C2)c1,0.5338256167186867
ZINC000078732349,O=C(CC[S@](=O)Cc1ccc2c(c1)CCC2)NCc1ccc(F)cc1,0.601970197885412
ZINC000685522744,Cc1ccsc1-c1nnc(N(C)C2CCN(Cc3ccccc3)CC2)n1C,0.5804217295175295
ZINC000019347414,O=c1cccc2n1[C@H]1C[C@@H](C2)CN(Cc2nc(-c3cccnc3Cl)no2)C1,0.5536847227337358
ZINC000851281935,O=C(OCC(F)(F)Br)c1ccc(OCC(F)(F)F)cn1,0.4284952832696356
